accessionId,reportedTrait,efoTraits
GCST90274758,Eukaryotic translation initiation factor 4E-binding protein 1 levels,level of eukaryotic translation initiation factor 4E-binding protein 1 in blood plasma
GCST90274759,Adenosine Deaminase levels,adenosine deaminase measurement
GCST90274760,Artemin levels,artemin measurement
GCST90274761,Axin-1 levels,axin-1 measurement
GCST90274762,beta-nerve growth factor levels,beta-nerve growth factor measurement
GCST90274763,Caspase 8 levels,caspase-8 measurement
GCST90274764,Eotaxin levels,eotaxin measurement
GCST90274765,C-C motif chemokine 19 levels,C-C motif chemokine 19 measurement
GCST90274766,C-C motif chemokine 20 levels,C-C motif chemokine 20 measurement
GCST90274767,C-C motif chemokine 23 levels,C-C motif chemokine 23 measurement
GCST90274768,C-C motif chemokine 25 levels,C-C motif chemokine 25 measurement
GCST90274769,C-C motif chemokine 28 levels,C-C motif chemokine 28 measurement
GCST90274770,C-C motif chemokine 4 levels,C-C motif chemokine 4-like measurement
GCST90274771,Natural killer cell receptor 2B4 levels,natural killer cell receptor 2B4 measurement
GCST90274772,CD40L receptor levels,CD40 measurement
GCST90274773,T-cell surface glycoprotein CD5 levels,t-cell surface glycoprotein CD5 measurement
GCST90274774,T-cell surface glycoprotein CD6 isoform levels,level of T-cell differentiation antigen CD6 in blood plasma
GCST90274775,CUB domain-containing protein 1 levels,CUB domain-containing protein 1 measurement
GCST90274776,Macrophage colony-stimulating factor 1 levels,macrophage colony-stimulating factor 1 measurement
GCST90274777,Cystatin D levels,cystatin-D measurement
GCST90274778,Fractalkine levels,fractalkine measurement
GCST90274779,C-X-C motif chemokine 1 levels,CXCL1 measurement
GCST90274780,C-X-C motif chemokine 10 levels,C-X-C motif chemokine 10 measurement
GCST90274781,C-X-C motif chemokine 11 levels,C-X-C motif chemokine 11 measurement
GCST90274782,C-X-C motif chemokine 5 levels,C-X-C motif chemokine 5 measurement
GCST90274783,C-X-C motif chemokine 6 levels,C-X-C motif chemokine 6 measurement
GCST90274784,C-X-C motif chemokine 9 levels,C-X-C motif chemokine 9 measurement
GCST90274785,Delta and Notch-like epidermal growth factor-related receptor levels,delta and Notch-like epidermal growth factor-related receptor measurement
GCST90274786,Protein S100-A12 levels,protein S100-A12 measurement
GCST90274787,Fibroblast growth factor 19 levels,fibroblast growth factor 19 measurement
GCST90274788,Fibroblast growth factor 21 levels,fibroblast growth factor 21 measurement
GCST90274789,Fibroblast growth factor 23 levels,fibroblast growth factor 23 measurement
GCST90274790,Fibroblast growth factor 5 levels,fibroblast growth factor 5 measurement
GCST90274791,Fms-related tyrosine kinase 3 ligand levels,obsolete_Fms-related tyrosine kinase 3 ligand measurement
GCST90274792,Glial cell line-derived neurotrophic factor levels,glial cell line-derived neurotrophic factor measurement
GCST90274793,Hepatocyte growth factor levels,hepatocyte growth factor measurement
GCST90274794,Interferon gamma levels,interferon gamma measurement
GCST90274795,Interleukin-10 levels,interleukin-10 measurement
GCST90274796,Interleukin-10 receptor subunit alpha levels,interleukin-10 receptor subunit alpha measurement
GCST90274797,Interleukin-10 receptor subunit beta levels,interleukin-10 receptor subunit beta measurement
GCST90274798,Interleukin-12 subunit beta levels,obsolete_interleukin-12 subunit B measurement
GCST90274799,Interleukin-13 levels,interleukin-13 measurement
GCST90274800,Interleukin-15 receptor subunit alpha levels,interleukin-15 receptor subunit alpha measurement
GCST90274801,Interleukin-17A levels,interleukin-17A measurement
GCST90274802,Interleukin-17C levels,interleukin-17C measurement
GCST90274803,Interleukin-18 levels,interleukin 18 measurement
GCST90274804,interleukin-18 receptor 1 levels,interleukin-18 receptor 1 measurement
GCST90274805,Interleukin-1-alpha levels,obsolete_interleukin-1 alpha measurement
GCST90274806,Interleukin-2 levels,interleukin-2 measurement
GCST90274807,Interleukin-20 levels,interleukin-20 measurement
GCST90274808,Interleukin-20 receptor subunit alpha levels,interleukin-20 receptor subunit alpha measurement
GCST90274809,Interleukin-22 receptor subunit alpha-1 levels,interleukin-22 receptor subunit alpha-1 measurement
GCST90274810,Interleukin-24 levels,interleukin-24 measurement
GCST90274811,Interleukin-2 receptor subunit beta levels,interleukin-2 receptor subunit beta measurement
GCST90274812,Interleukin-33 levels,level of interleukin-33 in blood plasma
GCST90274813,Interleukin-4 levels,interleukin-4 measurement
GCST90274814,Interleukin-5 levels,interleukin-5 measurement
GCST90274815,Interleukin-6 levels,interleukin-6 measurement
GCST90274816,Interleukin-7 levels,interleukin-7 measurement
GCST90274817,Interleukin-8 levels,interleukin-8 measurement
GCST90274818,Latency-associated peptide transforming growth factor beta 1 levels,transforming growth factor beta-1 measurement
GCST90274819,Leukemia inhibitory factor levels,leukemia inhibitory factor measurement
GCST90274820,Leukemia inhibitory factor receptor levels,leukemia inhibitory factor receptor measurement
GCST90274821,Monocyte chemoattractant protein-1 levels,CCL2 measurement
GCST90274822,Monocyte chemoattractant protein 2 levels,monocyte chemotactic protein-2 measurement
GCST90274823,Monocyte chemoattractant protein-3 levels,monocyte chemotactic protein 3 measurement
GCST90274824,Monocyte chemoattractant protein-4 levels,monocyte chemotactic protein-4 measurement
GCST90274825,Macrophage inflammatory protein 1a levels,macrophage inflammatory protein 1a measurement
GCST90274826,Matrix metalloproteinase-1 levels,matrix metalloproteinase 1 measurement
GCST90274827,Matrix metalloproteinase-10 levels,matrix metalloproteinase 10 measurement
GCST90274828,Neurturin levels,level of neurturin in blood plasma
GCST90274829,Neurotrophin-3 levels,neurotrophin-3 measurement
GCST90274830,Osteoprotegerin levels,osteoprotegerin measurement
GCST90274831,Oncostatin-M levels,oncostatin-M measurement
GCST90274832,Programmed cell death 1 ligand 1 levels,programmed cell death 1 ligand 1 measurement
GCST90274833,Stem cell factor levels,stem Cell Factor measurement
GCST90274834,SIR2-like protein 2 levels,SIR2-like protein 2 measurement
GCST90274835,Signaling lymphocytic activation molecule levels,signaling lymphocytic activation molecule measurement
GCST90274836,Sulfotransferase 1A1 levels,sulfotrasferase 1A1 measurement
GCST90274837,STAM binding protein levels,STAM binding protein measurement
GCST90274838,Transforming growth factor-alpha levels,transforming growth factor-alpha measurement
GCST90274839,Tumor necrosis factor levels,tumor necrosis factor measurement
GCST90274840,TNF-beta levels,lymphotoxin-alpha measurement
GCST90274841,Tumor necrosis factor receptor superfamily member 9 levels,tumor necrosis factor receptor superfamily member 9 measurement
GCST90274842,Tumor necrosis factor ligand superfamily member 14 levels,tumor necrosis factor ligand superfamily member 14 measurement
GCST90274843,TNF-related apoptosis-inducing ligand levels,TNF-related apoptosis-inducing ligand measurement
GCST90274844,TNF-related activation-induced cytokine levels,TNF-related activation-induced cytokine measurement
GCST90274845,Thymic stromal lymphopoietin levels,thymic stromal lymphopoietin measurement
GCST90274846,Tumor necrosis factor ligand superfamily member 12 levels,tumor necrosis factor ligand superfamily member 12 measurement
GCST90274847,Urokinase-type plasminogen activator levels,urokinase-type plasminogen activator measurement
GCST90274848,Vascular endothelial growth factor A levels,vascular endothelial growth factor A measurement
