accessionId,reportedTrait,discoverySampleAncestry,summaryStatistics,pubmedId,initialSampleDescription
GCST90032289,CAG-488 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032289,35115689,"5,959 Finnish ancestry individuals"
GCST90032290,CAG-495 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032290,35115689,"5,959 Finnish ancestry individuals"
GCST90032291,CAG-510 sp002432425 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032291,35115689,"5,959 Finnish ancestry individuals"
GCST90032292,CAG-552 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032292,35115689,"5,959 Finnish ancestry individuals"
GCST90032293,CAG-590 sp000431135 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032293,35115689,"5,959 Finnish ancestry individuals"
GCST90032294,CAG-632 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032294,35115689,"5,959 Finnish ancestry individuals"
GCST90032295,CAG-698 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032295,35115689,"5,959 Finnish ancestry individuals"
GCST90032296,CAG-776 sp000438195 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032296,35115689,"5,959 Finnish ancestry individuals"
GCST90032297,CAG-776 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032297,35115689,"5,959 Finnish ancestry individuals"
GCST90032298,CAG-81 sp000435795 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032298,35115689,"5,959 Finnish ancestry individuals"
GCST90032299,CAG-822 sp000432855 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032299,35115689,"5,959 Finnish ancestry individuals"
GCST90032300,CAG-822 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032300,35115689,"5,959 Finnish ancestry individuals"
GCST90032301,CAG-826 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032301,35115689,"5,959 Finnish ancestry individuals"
GCST90032302,CAG-83 sp000435555 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032302,35115689,"5,959 Finnish ancestry individuals"
GCST90032303,CAG-83 sp002392625 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032303,35115689,"5,959 Finnish ancestry individuals"
GCST90032304,CAG-841 sp002479075 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032304,35115689,"5,959 Finnish ancestry individuals"
GCST90032305,CAG-873 sp001701165 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032305,35115689,"5,959 Finnish ancestry individuals"
GCST90032306,CAG-877 sp000433455 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032306,35115689,"5,959 Finnish ancestry individuals"
GCST90032307,CAG-877 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032307,35115689,"5,959 Finnish ancestry individuals"
GCST90032308,CAG-882 sp003486385 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032308,35115689,"5,959 Finnish ancestry individuals"
GCST90032309,CAG-884 sp000433875 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032309,35115689,"5,959 Finnish ancestry individuals"
GCST90032310,CAG-884 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032310,35115689,"5,959 Finnish ancestry individuals"
GCST90032311,CAG-977 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032311,35115689,"5,959 Finnish ancestry individuals"
GCST90032312,Caloranaerobacteraceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032312,35115689,"5,959 Finnish ancestry individuals"
GCST90032313,Caloranaerobacter abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032313,35115689,"5,959 Finnish ancestry individuals"
GCST90032314,Campylobacter D abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032314,35115689,"5,959 Finnish ancestry individuals"
GCST90032315,Cetobacterium A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032315,35115689,"5,959 Finnish ancestry individuals"
GCST90032316,CHKCI006 sp900018345 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032316,35115689,"5,959 Finnish ancestry individuals"
GCST90032317,Chloroflexales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032317,35115689,"5,959 Finnish ancestry individuals"
GCST90032318,Chromatiales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032318,35115689,"5,959 Finnish ancestry individuals"
GCST90032319,Chromobacteriaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032319,35115689,"5,959 Finnish ancestry individuals"
GCST90032320,Citrobacter A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032320,35115689,"5,959 Finnish ancestry individuals"
GCST90032321,Clostridia abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032321,35115689,"5,959 Finnish ancestry individuals"
GCST90032322,Clostridium E sporosphaeroides abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032322,35115689,"5,959 Finnish ancestry individuals"
GCST90032323,Clostridium I abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032323,35115689,"5,959 Finnish ancestry individuals"
GCST90032324,Clostridium M clostridioforme abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032324,35115689,"5,959 Finnish ancestry individuals"
GCST90032325,Clostridium M sp001304855 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032325,35115689,"5,959 Finnish ancestry individuals"
GCST90032326,Clostridium P abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032326,35115689,"5,959 Finnish ancestry individuals"
GCST90032327,Clostridium saudiense abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032327,35115689,"5,959 Finnish ancestry individuals"
GCST90032328,Clostridium S felsineum abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032328,35115689,"5,959 Finnish ancestry individuals"
GCST90032329,Clostridium tertium abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032329,35115689,"5,959 Finnish ancestry individuals"
GCST90032330,Collinsella abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032330,35115689,"5,959 Finnish ancestry individuals"
GCST90032331,Comamonas B abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032331,35115689,"5,959 Finnish ancestry individuals"
GCST90032332,Comamonas abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032332,35115689,"5,959 Finnish ancestry individuals"
GCST90032333,Coprobacillus cateniformis abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032333,35115689,"5,959 Finnish ancestry individuals"
GCST90032334,Coprobacillus abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032334,35115689,"5,959 Finnish ancestry individuals"
GCST90032335,Coprobacter secundus abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032335,35115689,"5,959 Finnish ancestry individuals"
GCST90032336,Corynebacterium abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032336,35115689,"5,959 Finnish ancestry individuals"
GCST90032337,Cyanobacteria abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032337,35115689,"5,959 Finnish ancestry individuals"
GCST90032338,Demequinaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032338,35115689,"5,959 Finnish ancestry individuals"
GCST90032339,Demequina abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032339,35115689,"5,959 Finnish ancestry individuals"
GCST90032340,Desulfobacterota A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032340,35115689,"5,959 Finnish ancestry individuals"
GCST90032341,Desulfovibrionaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032341,35115689,"5,959 Finnish ancestry individuals"
GCST90032342,Desulfovibrionales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032342,35115689,"5,959 Finnish ancestry individuals"
GCST90032343,Desulfovibrionia abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032343,35115689,"5,959 Finnish ancestry individuals"
GCST90032344,Desulfovibrio piger abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032344,35115689,"5,959 Finnish ancestry individuals"
GCST90032345,Dialister sp000434475 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032345,35115689,"5,959 Finnish ancestry individuals"
GCST90032346,Dokdonella abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032346,35115689,"5,959 Finnish ancestry individuals"
GCST90032347,Dorea phocaeense abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032347,35115689,"5,959 Finnish ancestry individuals"
GCST90032348,Dorea abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032348,35115689,"5,959 Finnish ancestry individuals"
GCST90032349,DTU024 sp002411105 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032349,35115689,"5,959 Finnish ancestry individuals"
GCST90032350,Dysgonomonadaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032350,35115689,"5,959 Finnish ancestry individuals"
GCST90032351,Eisenbergiella sp900066775 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032351,35115689,"5,959 Finnish ancestry individuals"
GCST90032352,Elusimicrobiaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032352,35115689,"5,959 Finnish ancestry individuals"
GCST90032353,Elusimicrobia abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032353,35115689,"5,959 Finnish ancestry individuals"
GCST90032354,Elusimicrobiota abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032354,35115689,"5,959 Finnish ancestry individuals"
GCST90032355,Emergencia abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032355,35115689,"5,959 Finnish ancestry individuals"
GCST90032356,Endozoicomonadaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032356,35115689,"5,959 Finnish ancestry individuals"
GCST90032357,Enorma massiliensis abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032357,35115689,"5,959 Finnish ancestry individuals"
GCST90032358,Ensifer abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032358,35115689,"5,959 Finnish ancestry individuals"
GCST90032359,Enterobacteriaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032359,35115689,"5,959 Finnish ancestry individuals"
GCST90032360,Enterococcaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032360,35115689,"5,959 Finnish ancestry individuals"
GCST90032361,Enterococcus A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032361,35115689,"5,959 Finnish ancestry individuals"
GCST90032362,Enterococcus B abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032362,35115689,"5,959 Finnish ancestry individuals"
GCST90032363,Enterococcus faecalis abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032363,35115689,"5,959 Finnish ancestry individuals"
GCST90032364,Enterococcus abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032364,35115689,"5,959 Finnish ancestry individuals"
GCST90032365,Enteroscipio abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032365,35115689,"5,959 Finnish ancestry individuals"
GCST90032366,ER4 sp002437735 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032366,35115689,"5,959 Finnish ancestry individuals"
GCST90032367,Eremiobacterota abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032367,35115689,"5,959 Finnish ancestry individuals"
GCST90032368,Erysipelatoclostridiaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032368,35115689,"5,959 Finnish ancestry individuals"
GCST90032369,Escherichia flexneri abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032369,35115689,"5,959 Finnish ancestry individuals"
GCST90032370,Escherichia abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032370,35115689,"5,959 Finnish ancestry individuals"
GCST90032371,Eubacterium callanderi abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032371,35115689,"5,959 Finnish ancestry individuals"
GCST90032372,Eubacterium F sp000434115 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032372,35115689,"5,959 Finnish ancestry individuals"
GCST90032373,Eubacterium I ramulus A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032373,35115689,"5,959 Finnish ancestry individuals"
GCST90032374,Eubacterium Q abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032374,35115689,"5,959 Finnish ancestry individuals"
GCST90032375,Eubacterium R coprostanoligenes abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032375,35115689,"5,959 Finnish ancestry individuals"
GCST90032376,Eubacterium R sp000431535 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032376,35115689,"5,959 Finnish ancestry individuals"
GCST90032377,Ezakiellaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032377,35115689,"5,959 Finnish ancestry individuals"
GCST90032378,F0428 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032378,35115689,"5,959 Finnish ancestry individuals"
GCST90032379,Faecalibacterium prausnitzii E abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032379,35115689,"5,959 Finnish ancestry individuals"
GCST90032380,Faecalibacterium sp002160895 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032380,35115689,"5,959 Finnish ancestry individuals"
GCST90032381,Faecalicatena glycyrrhizinilyticum abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032381,35115689,"5,959 Finnish ancestry individuals"
GCST90032382,Faecalicatena lactaris abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032382,35115689,"5,959 Finnish ancestry individuals"
GCST90032383,Faecalicatena sp000364245 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032383,35115689,"5,959 Finnish ancestry individuals"
GCST90032384,Faecalicatena sp001517425 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032384,35115689,"5,959 Finnish ancestry individuals"
GCST90032385,Faecalicatena sp002161355 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032385,35115689,"5,959 Finnish ancestry individuals"
GCST90032386,Faecalicatena sp002397985 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032386,35115689,"5,959 Finnish ancestry individuals"
GCST90032387,Faecalicatena torques abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032387,35115689,"5,959 Finnish ancestry individuals"
GCST90032388,Faecalicoccus pleomorphus abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032388,35115689,"5,959 Finnish ancestry individuals"
GCST90032389,Faecalicoccus abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032389,35115689,"5,959 Finnish ancestry individuals"
GCST90032390,Faecalitalea cylindroides abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032390,35115689,"5,959 Finnish ancestry individuals"
GCST90032391,Fervidobacteriaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032391,35115689,"5,959 Finnish ancestry individuals"
GCST90032392,Fibrobacteraceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032392,35115689,"5,959 Finnish ancestry individuals"
GCST90032393,Fibrobacterales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032393,35115689,"5,959 Finnish ancestry individuals"
GCST90032394,Fibrobacteria abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032394,35115689,"5,959 Finnish ancestry individuals"
GCST90032395,Fimbriimonadia abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032395,35115689,"5,959 Finnish ancestry individuals"
GCST90032396,Firmicutes A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032396,35115689,"5,959 Finnish ancestry individuals"
GCST90032397,Firmicutes E abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032397,35115689,"5,959 Finnish ancestry individuals"
GCST90032398,Firmicutes I abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032398,35115689,"5,959 Finnish ancestry individuals"
GCST90032399,Flavobacteriales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032399,35115689,"5,959 Finnish ancestry individuals"
GCST90032400,Flavonifractor sp002159265 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032400,35115689,"5,959 Finnish ancestry individuals"
GCST90032401,Flavonifractor sp900199495 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032401,35115689,"5,959 Finnish ancestry individuals"
GCST90032402,Fournierella massiliensis abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032402,35115689,"5,959 Finnish ancestry individuals"
GCST90032403,Francisellaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032403,35115689,"5,959 Finnish ancestry individuals"
GCST90032404,Francisellales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032404,35115689,"5,959 Finnish ancestry individuals"
GCST90032405,Fusobacteriaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032405,35115689,"5,959 Finnish ancestry individuals"
GCST90032406,Fusobacterium A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032406,35115689,"5,959 Finnish ancestry individuals"
